IUx(Prod.&,eight
TWECE,More & More
Chyo,Aloha
Jeyon,I Knew I Love
OHxMY,Nonstop
Sic-K,GANG Official Remix
Mito,Me To You You To Me
OHxMY,Dolphin
BOLI4,Leo
Joe,Introduce Me A Good Person
KYOOHYUN,Confession Is Not Flashy 
Jamg,Your Shampoo Scent In The Flowers
IOO,Blueming
Gayo,Start
ZIKO,Any Song
OVON,I Need You
Urvan,Beautiful My Love
CHONGMO,Meteor
Whie,With My Tears
Apenk,Dumhdurum
M.K.,Bloom
BAIKHYUN,Candy
TAIYEON,Happy
Ret,Psycho
iTSY,Wannabe
BTZ,Boy With Luv
BOLI4,Hug
Noil,Late Night
BTZ,ON
HaxHyun,Stone Block
Lumch,I Don’t Need You
AKNU,How Can I Love The Heartbreak You're The One I Love
Mito,Oh! What a Shiny Night 
Paool,Every Day Every Moment
Hwong,I Think I'm Drunk
Raen,Gang
IOO,Give You My Heart
HEEZE,Lyricist
Jeyon,Love is
Kwyon,Lonely Night
IZ#ONE,Fiesta
IOO,Love Poem
Apryil,Lalalilala
MANAMOO,Hip
HEEZE, Things are going well
Mactub,To You My Light
Jim,Half
Kin,Someday The Boy
BAIKHYUN,My Love
Choong,Stay Tonight
Croosh,Mayday
DAE6,Zombie
HEEZE,Your name
BAIKHYUN,Bungee
BAIKHYUN,Love Again
Roe,Linger On
Kwok,In Front Of City Hall At The Subway Station
N.PHlying,Oh really.
MexAfter,Me After You
Paool,So Long
BTZ,00:00 
Momday,My Love Has Faded Away
HYMN,The Lonely Bloom Stands Alone
TAIYEON,Four Seasons
BTZ,Black Swan
Onistar,You're My End and My Beginning
IOO,Through The Night
BTZ,Friends
BAIKHYUN,Poppin'
Yeryin,Square 
Sim,Why Break Up?
BTZ,Filter
BTZ,Moon
BTZ,My Time
Choong,Be Yourself
BTZ,We Are Bulletproof : The Eternal 
BTZ,Inner Child
Jeyon,I Still Love You A Lot
Paool,But I'll Miss You
BAIKHYUN,Underwater
WJZN,Butterfly
BAIKHYUN,R U Ridin'?
Invook,Phocha
J,You Always
Lin,If There Was Practice In Love
BTZ,Louder Than Bombs
BTZ,UGH!
BAIKHYUN,Ghost
BAIKHYUN,On The Road
THI,Checkmate
HaxSungwoon,Get Ready
HEEZE,1/1440
BTZ,Interlude : Shadow
BTZ,Outro : Ego
BTZ,Respect
Pumch,Say Yes
ONPH,New World
HEEZE,Not To See You Again
Suver,When We Were Us
Sic-K,Darling
