KimKi,Kanzai Boya
YOOSOBI,Yoru Ni Kakeru
Eido,Kousui
Ainyon,Hadaka No Kokoro
Kimg,Mazy Night
LiZA,Gurenge
Ofphicial,Pretender
Ofphicial,I LOVE…
Kimg,Hakujitsu
TWECE,More & More
yana,Haru Wo Tsugeru
DIZH//,Neko THE FIRST TAKE ver.
SF1,Good Guy
IZ#ONE,Secret Story Of The Swan 
YOOSOBI,Harujion
Ainyon,Marigold
TWECE,Fanfare
BTZ,Stay Gold
TWECE,Feel Special
Ofphicial,Shukumei
Ofphicial,115 Man Kilo No Film
Ofphicial, Yesterday
Nokizaka,Sekaijuu No Rinjinn Yo
Mazaki,Machigai Sagashi
Thi,D.D.
Gem,Oriai
Ainyon,Haru No Hi
Laty,Rain On Me
Rimne,Snow Jam
Ofphicial,No Doubt
Mrz.,Inferno
Ofphicial,Parabola
yoryushika,Hana Ni Bourei
WAMIMA,Milk
iTSY,Icy
yoryushika,Tada Kimini Hare
Uroo,Anata Ga Iru Koto De
Bililie,Bad Guy
SikTONES,Imitation Rain
Soryane,Hug
Shoota,Hack
YOOSOBI,Ano Yume Wo Nazotte
DIZH//,Neko
Kimg,Hikoutei
Twinty,smile
Fidz,HandClap
Kemshi,Lemon
SikTONES,Navigator
Kimg,Teenager Forever
Mrz.,Ao To Natsu
Mrz.,Boku No Koto
GEMERATIONS,You & I 
Ainyon,Kimi Ha Rock Wo Kikanai
AROSHI,Kaito
Kem,Kaibutsu San
Hicaru,Time
J-ZHUN,Brava!! Brava!! Brava!!
Kani,Yonagauta
EdxSheeran,Shape Of You
wakci,Betsu No Hito No Kanojo Ni Natta Yo
Ainyon,Konya Konomama
Kemshi,Uma To Shika
Yuoori,Kakurenbo
Nobelbright,Walking With You
Zudto,Byoushin Wo Kamu
SikTONES,Japonica Style
iTSY,Wannabe
Sudopuri,SukiSuki Seijin
Suver,SUPER DRAGON
Kimg,Doron
TWECE,Fancy
Leyo,Mikansei
[Aliexandros],Wataridori
Kase,Yasashisa
Mrz.,Tenbyou No Uta
J-ZHUN,Ray of Light
Royot,Yozakura Hikou
yoryushika,Dakara Boku Ha Ongaku Wo Yameta
Ofphicial,Stand By You
Uroo,Prologue
Gem,Koi
ONI,Wasted Nights
Kimg,The Hole
GRieeeN,Hoshikage No Yell
SikTONES,Hysteria
Zudto,Obenkyou Shitoiteyo
yoryushika,Haru Hisagi
BTZ,ON
Riryia.,Uwaki Sareta Kedo Mada Sukitte Kyoku.
Dozha,Boss Bitch
SECAI,umbrella
Mazaki,Sayonara Elegy
Yanazaru,Namae No Nai Uta
Chonmina,Never Grow Up
bakk,Takane No Hanako San
Kimg,Kasa
ONI,Wherever You Are
BTZ,Boy With Luv
MANAMOO,Hip
Ainyon,Sora No Aosa Wo Shiru Hito Yo
