환불월정대,DON'T TOUCH ME
산든,취기를 빌려 
임창점,힘든 건 사랑이 아니다
Croosh,놓아줘 
BLOCKPINK,Lovesick Girls
Javsh,Savage Love 
제스,눈누난나 
규혈,내 마음이 움찔했던 순간 
BLOCKPINK,How You Like That
아이우,에잇
화샤,마리아 
장범줄,잠이 오질 않네요
오마으걸,Dolphin
장범줄,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
싹쓰르,다시 여기 바닷가
조정섞,아로하
오발,어떻게 지내 
이하으,홀로
블류,Downtown Baby
Tomes,Dance Monkey
노은,늦은 밤 너의 집 앞 골목길에서
스탠딤,오래된 노래
AKNU,어떻게 이별까지 사랑하겠어 널 사랑하는 거지
Maryoon,Memories
마마뮤,딩가딩가 
창묘,METEOR
전상글,사랑은 지날수록 더욱 선명하게 남아
방탄쇼년단,작은 것들을 위한 시 
백지염,거짓말이라도 해서 널 보고싶어
오마으걸,살짝 설렜어 
폴킹,모든 날 모든 순간 
아이우,Blueming
순순휘,서면역에서
전미됴,사랑하게 될 줄 알았어
Anme-Marie,2002
청햐,Bad Boy
,덤디덤디 
신예염,우리 왜 헤어져야 해
Duo,Don't Start Now
박진염,When We Disco 
지쿄,Summer Hate 
적쟤,나랑 같이 걸을래 
BLOCKPINK,Ice Cream 
엠씨뎌맥스,처음처럼
아이우,마음을 드려요
방탄쇼년단,봄날
지쿄,아무노래
먼데으,사랑 못해 남들 쉽게 다 하는 거
폴킹,안녕
선므,보라빛 밤 
BLOCKPINK,Pretty Savage
바이비,가을 타나 봐
로꾜,잠이 들어야 
방탄쇼년단,ON
가효,시작
Etyam,12:45 
임영움,이제 나만 믿어요
Coman,Maniac
아이우,Love poem
아이우,Into the I-LAND
조으,좋은 사람 있으면 소개시켜줘
폴킹,너를 만나
오발,축하해
Laoov,Paris In The Rain
카더갸든,밤새 
Ret,Psycho
황인욲,취했나봐
김핀,그때 그 아인
마크퉆,별을 담은 시 
싹쓰르,그 여름을 틀어줘
Croosh,Tip Toe 
BLOCKPINK,Bet You Wanna 
이수혈,ALIEN
Bililie,bad guy
HYMN,시든 꽃에 물을 주듯
Ruil,Painkiller
볼빨갈사춘기,나비와 고양이 
송하에,행복해
임창점,하루도 그대를 사랑하지 않은 적이 없었다
진민효,반만
비룜,신난다 
Areana,Stuck with U
규혈,화려하지 않은 고백
신용쟤,첫 줄
전상글,사랑이란 멜로는 없어
김준슈,사랑하고 싶지 않아 
백혈,너를 사랑하고 있어
헤이지,밤하늘의 저 별처럼
마마뮤,HIP
방탄쇼년단,00:00 
TWECE,MORE & MORE
San,To Die For
싹쓰르,여름 안에서 by 싹쓰리 
유야,숲의 아이 
청햐,PLAY 
정은즈,너의 밤은 어때 
임창점,소확행
방탄쇼년단,Dynamite
ITSY,Not Shy
마크퉆,오늘도 빛나는 너에게 
